Peak name,Continent,Country,Difficulty,Elevation (feet),Elevation (meters),Latitude,Longitude,Nearest major airport,Year first climbed
"19th Party Conference, Peak",asia,kyrgyzstan,basic snow/ice climb,5885,1794,39.3833,72.9667,osh,1930
"8620, Peak",north america,united states,technical climb,8620,2627,63.25,-150.25,fairbanks,
A'Mhaighdean,europe,united kingdom,scramble,3173,967,57.7196,-5.3463,inverness,
"Abbot, Mount",north america,united states,basic snow/ice climb,13704,4177,37.3864,-118.784,nan,1908
Abbott Butte,north america,united states,nan,6125,1867,42.943457,-122.549764,eugene airport,
Abbott Peak,australia/oceania,australia,nan,7037,2145,,,jindabyne / thredbo,
Abercrombie Peak,north america,united states,walk up,7136,2175,,,spokane intl,
"Aberdeen, Mount",north america,canada,basic snow/ice climb,10341,3152,51.37987,-116.247625,calgary,1894
Abernathy Peak,north america,united states,scramble,8321,2536,48.477368,-120.524144,seattle-tacoma,
Acatenango,north america,guatemala,walk up,13044,3976,14.5,-90.8667,"la aurora, guatemala city",
Achen Niyeu,south america,argentina,walk up,5249,1600,-39.863701,-71.56477,chapelco airport,
Acho,asia,iran,walk up,5525,1684,36.227,53.1633,sari dasht-e naz airport,
Ackerlspitze,europe,austria,scramble,7641,2329,47.55753,12.335587,nan,
Aconcagua,south america,argentina,major mountain expedition,22841,6962,-32.653359,-70.011234,"mendoza, argentina",1897
Acotango,south america,bolivia,basic snow/ice climb,19856,6052,-18.383,-69.05,la paz,
Adam's Peak,asia,sri lanka,walk up,7359,2243,6.81139,80.4997,"columbo, sri lanka",
Adamello,europe,italy,basic snow/ice climb,11660,3554,46.156111,10.496389,milan,1864
"Adams, Mount",north america,united states,walk up,5771,1759,44.3203,-71.2914,"montpelier, vt",
Adi Kailash,asia,india,nan,20312,6191,30.28529,80.651983,nan,2004
Admonter Kalbling,europe,austria,walk up,7205,2196,47.5333,14.5167,graz,
Adolfo Calle,south america,argentina,scramble,13780,4200,-32.972614,-69.39953,aeropuerto de mendoza,
Affarwat,asia,india,scramble,13593,4143,34.020048,74.337015,"srinagar, indian administered kashmir",
Agassiz Peak,north america,united states,nan,12356,3766,35.3258,-111.677,pullium,
"Agassiz, Mount",north america,united states,walk up,13893,4235,37.1117,-118.53,nan,1925
Agathla Peak,north america,united states,technical climb,7100,2164,36.8167,-110.217,"phoenix, arizona",
"Agdalusan, Mount",asia,philippines,nan,2526,770,11.103097,122.370665,new iloilo airport,
Agios Bernados,europe,france,walk up,8996,2742,,,nan,1800
Agnes Mountain,north america,united states,technical climb,8115,2473,48.317508,-120.968313,seattle-tacoma,1936
Ago di Tredenus,europe,italy,technical climb,9022,2750,46.015069,10.435506,"milano, orio al serio",1932
Aguglia di Goloritzè,europe,italy,technical climb,541,165,40.089199,9.706682,cagliari,1981
Aguille d' Epaisseur,europe,france,walk up,10512,3204,,,geneve,
Aguja De La S,south america,argentina,major mountain expedition,7661,2335,-49.3,-73.05,nan,1968
Aguja Saint Exupery,south america,argentina,major mountain expedition,2680,817,-49.2833,-73.0333,rìo gallegos,1968
Agulles d'Amitges,europe,spain,technical climb,8743,2665,42.62,0.98,barcelona,
Ahornspitze,europe,austria,nan,9764,2976,,,innsbruck,
Aiarnola,europe,italy,scramble,8055,2456,46.580309,12.445922,venice,
Aiguille Blanche De Peuterey,europe,italy,technical climb,13491,4112,,,geneva,
Aiguille De Rochefort,europe,,technical climb,13126,4001,45.8333,7,geneve/lyon/turin/milan,
Aiguille Du Midi,europe,france,scramble,12605,3842,,,geneve,1911
Aiguille Du Moine,europe,france,scramble,11194,3412,,,geneva,2001
